created_at,id,retweet_count,favorite_count
Tue Aug 01 16:23:56 +0000 2017,892420643555336193,7582,35818
Tue Aug 01 00:17:27 +0000 2017,892177421306343426,5622,30921
Mon Jul 31 00:18:03 +0000 2017,891815181378084864,3720,23259
Sun Jul 30 15:58:51 +0000 2017,891689557279858688,7764,39079
Sat Jul 29 16:00:24 +0000 2017,891327558926688256,8360,37341
Sat Jul 29 00:08:17 +0000 2017,891087950875897856,2806,18815
Fri Jul 28 16:27:12 +0000 2017,890971913173991426,1825,10927
Fri Jul 28 00:22:40 +0000 2017,890729181411237888,16953,60324
Thu Jul 27 16:25:51 +0000 2017,890609185150312448,3858,25898
Wed Jul 26 15:59:51 +0000 2017,890240255349198849,6600,29574
Wed Jul 26 00:31:25 +0000 2017,890006608113172480,6586,28466
Tue Jul 25 16:11:53 +0000 2017,889880896479866881,4480,25904
Tue Jul 25 01:55:32 +0000 2017,889665388333682689,8981,44585
Tue Jul 25 00:10:02 +0000 2017,889638837579907072,4029,25092
Mon Jul 24 17:02:04 +0000 2017,889531135344209921,2027,14064
Mon Jul 24 00:19:32 +0000 2017,889278841981685760,4795,23359
Sun Jul 23 00:22:39 +0000 2017,888917238123831296,4037,27006
Sat Jul 22 16:56:37 +0000 2017,888804989199671297,3807,23702
Sat Jul 22 00:23:06 +0000 2017,888554962724278272,3118,18303
Thu Jul 20 16:49:33 +0000 2017,888078434458587136,3122,20228
Wed Jul 19 16:06:48 +0000 2017,887705289381826560,4856,28111
Wed Jul 19 03:39:09 +0000 2017,887517139158093824,10595,43057
Wed Jul 19 00:47:34 +0000 2017,887473957103951883,16177,63795
Tue Jul 18 16:08:03 +0000 2017,887343217045368832,9430,31264
Tue Jul 18 00:07:08 +0000 2017,887101392804085760,5366,28439
Mon Jul 17 16:17:36 +0000 2017,886983233522544640,6887,32373
Sun Jul 16 23:58:41 +0000 2017,886736880519319552,2881,11104
Sun Jul 16 20:14:00 +0000 2017,886680336477933568,4021,20872
Sat Jul 15 23:25:31 +0000 2017,886366144734445568,2849,19610
Sat Jul 15 16:51:35 +0000 2017,886267009285017600,4,111
Sat Jul 15 16:17:19 +0000 2017,886258384151887873,5685,25982
Sat Jul 15 02:45:48 +0000 2017,886054160059072513,100,0
Fri Jul 14 22:10:11 +0000 2017,885984800019947520,6045,30239
Thu Jul 13 15:58:47 +0000 2017,885528943205470208,5746,33372
Thu Jul 13 15:19:09 +0000 2017,885518971528720385,3365,19002
Thu Jul 13 01:35:06 +0000 2017,885311592912609280,16630,0
Wed Jul 12 16:03:00 +0000 2017,885167619883638784,3924,20318
Wed Jul 12 00:01:00 +0000 2017,884925521741709313,16226,71478
Tue Jul 11 20:47:12 +0000 2017,884876753390489601,5018,25815
Tue Jul 11 00:00:02 +0000 2017,884562892145688576,4229,22572
Mon Jul 10 15:58:53 +0000 2017,884441805382717440,5123,25161
Mon Jul 10 03:08:17 +0000 2017,884247878851493888,18262,67311
Sun Jul 09 21:29:42 +0000 2017,884162670584377345,2691,18943
Sun Jul 09 00:00:04 +0000 2017,883838122936631299,3086,20290
